City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gaigeturi,33.4644,126.3183,22.03,94,100,1.03,KR,1685410250
1,lethem,3.3803,-59.7968,25.79,84,100,1.65,GY,1685410251
2,shortandy,51.7006,70.9994,20.77,53,80,1.47,KZ,1685410252
3,wailua homesteads,22.0669,-159.378,26.44,76,20,7.2,US,1685410252
4,ribeira grande,38.5167,-28.7,15.99,86,16,4.02,PT,1685410253
5,n'zeto,-7.2312,12.8666,22.95,88,96,3.13,AO,1685410254
6,colonia,50.9333,6.95,11.62,56,0,4.12,DE,1685410188
7,bilibino,68.0546,166.4372,6.53,56,94,6.62,RU,1685410255
8,waitangi,-43.9535,-176.5597,15.46,89,100,4.92,NZ,1685410257
9,avarua,-21.2078,-159.775,24.03,69,100,4.12,CK,1685410258
10,margaret river,-33.95,115.0667,20.08,71,89,7.16,AU,1685410259
11,hithadhoo,-0.6,73.0833,28.32,70,74,2.73,MV,1685410260
12,tura,25.5198,90.2201,30.41,50,52,1.17,IN,1685410261
13,bethel,41.3712,-73.414,17.03,65,0,3.6,US,1685410263
14,ararat,39.8317,44.7049,15.19,83,69,1.33,AM,1685410264
15,margate,51.3813,1.3862,11.06,76,26,5.36,GB,1685410265
16,west island,-12.1568,96.8225,27.99,74,40,5.14,CC,1685410266
17,adamstown,-25.066,-130.1015,21.06,62,100,4.76,PN,1685410267
18,grytviken,-54.2811,-36.5092,-0.4,85,40,2.5,GS,1685410268
19,blackmans bay,-43.0167,147.3167,16.07,76,100,3.18,AU,1685410270
20,hadibu,12.65,54.0333,29.17,77,37,3.5,YE,1685410271
21,smithers,54.7804,-127.1743,14.18,33,40,6.17,CA,1685410273
22,ponta delgada,37.7333,-25.6667,17.4,82,20,1.54,PT,1685410273
23,prince rupert,54.3161,-130.3201,11.05,67,0,5.14,CA,1685410222
24,west fargo,46.875,-96.9004,29.0,41,0,6.17,US,1685410176
25,tarawa,1.419,172.984,31.05,70,40,2.06,KI,1685410278
26,college,64.8569,-147.8028,11.18,88,100,7.72,US,1685410035
27,ghat,24.9647,10.1728,26.75,10,95,2.08,LY,1685410280
28,belyy yar,53.6039,91.3903,10.94,87,40,2.0,RU,1685410281
29,thompson,55.7435,-97.8558,24.09,64,75,2.57,CA,1685409988
30,rongelap,11.1635,166.8941,27.7,78,100,6.51,MH,1685410283
31,albany,42.6001,-73.9662,22.23,45,7,1.34,US,1685410010
32,san luis de la loma,17.2706,-100.8939,28.95,69,3,2.4,MX,1685410284
33,hermanus,-34.4187,19.2345,13.78,82,99,3.3,ZA,1685410285
34,invercargill,-46.4,168.35,7.87,90,100,6.97,NZ,1685410286
35,kodiak,57.79,-152.4072,8.73,61,100,3.09,US,1685410087
36,tazovsky,67.4667,78.7,6.98,77,100,6.28,RU,1685410287
37,yellowknife,62.456,-114.3525,12.29,58,75,5.14,CA,1685410226
38,bratsk,56.1325,101.6142,16.27,63,100,4.58,RU,1685410289
39,vilyuchinsk,52.9306,158.4028,8.15,96,100,4.36,RU,1685410290
40,port-aux-francais,-49.35,70.2167,7.07,95,100,15.79,TF,1685410291
41,amarillo,35.222,-101.8313,26.23,53,0,5.14,US,1685410255
42,altay,47.8667,88.1167,11.33,54,8,1.36,CN,1685410294
43,atafu village,-8.5421,-172.5159,28.93,71,100,4.9,TK,1685410294
44,dolores,-36.3132,-57.6792,8.19,82,100,3.11,AR,1685410202
45,cabo san lucas,22.8909,-109.9124,29.23,47,0,5.14,MX,1685410155
46,katsuura,35.1333,140.3,19.05,87,100,5.66,JP,1685410299
47,pisek,49.3088,14.1475,13.49,58,100,1.75,CZ,1685410300
48,edinburgh of the seven seas,-37.0676,-12.3116,17.59,85,100,16.33,SH,1685410301
49,utrik,11.2278,169.8474,27.69,76,63,5.4,MH,1685410302
50,kerikeri,-35.2268,173.9474,18.56,69,99,2.16,NZ,1685410216
51,stanley,54.868,-1.6985,6.61,94,0,0.51,GB,1685410303
52,la ronge,55.1001,-105.2842,22.12,35,100,2.06,CA,1685410304
53,mersa matruh,31.3525,27.2453,18.11,82,40,1.03,EG,1685410305
54,guerrero negro,27.9769,-114.0611,16.83,72,0,8.56,MX,1685410307
55,port elizabeth,-33.918,25.5701,18.39,94,40,7.72,ZA,1685410308
56,tulnici,45.9167,26.6667,10.79,85,32,2.13,RO,1685410309
57,morrinhos,-17.7311,-49.0994,19.84,65,67,1.58,BR,1685410310
58,piti village,13.4626,144.6933,26.03,96,100,6.69,GU,1685410310
59,newark,40.7357,-74.1724,19.42,57,20,7.72,US,1685409962
60,badger,64.8,-147.5333,11.14,84,100,7.72,US,1685410311
61,lazaro cardenas,17.9583,-102.2,28.88,73,35,3.87,MX,1685410312
62,coquimbo,-29.9533,-71.3436,14.85,88,100,2.57,CL,1685409598
63,ieper,50.8511,2.8857,11.15,83,16,2.24,BE,1685410313
64,puerto natales,-51.7236,-72.4875,3.25,94,100,1.79,CL,1685410074
65,tiksi,71.6872,128.8694,2.77,88,100,6.74,RU,1685410313
66,edd,13.9297,41.6925,29.6,64,100,6.13,ER,1685410314
67,nemuro,43.3236,145.575,8.61,79,52,5.11,JP,1685410314
68,san rafael,-34.6177,-68.3301,11.93,47,17,2.19,AR,1685410239
69,hamilton,39.1834,-84.5333,23.85,49,26,1.3,US,1685410315
70,lebu,-37.6167,-73.65,10.15,70,100,2.0,CL,1685410316
71,el calafate,-50.3408,-72.2768,5.11,83,100,0.93,AR,1685410316
72,ust-nera,64.5667,143.2,15.27,54,92,1.06,RU,1685410316
73,zhosaly,45.4878,64.0781,22.58,17,0,5.06,KZ,1685410317
74,chernyshevskiy,63.0128,112.4714,15.39,44,4,1.0,RU,1685410317
75,nar'yan-mar,67.6713,53.087,10.62,71,27,2.57,RU,1685410318
76,matonga,-2.3833,34.0833,15.25,87,89,1.76,TZ,1685410318
77,santa cruz,-17.8,-63.1667,17.7,82,75,5.14,BO,1685410319
78,chonchi,-42.6128,-73.8092,6.56,95,100,2.16,CL,1685410321
79,sinabang,2.4803,96.3801,27.88,75,86,2.07,ID,1685410322
80,kalianget,-7.05,113.9333,28.58,63,9,5.89,ID,1685410323
81,enewetak,11.3474,162.3373,27.78,78,34,6.09,MH,1685410324
82,portland,45.5234,-122.6762,26.45,48,20,5.14,US,1685409650
83,fort bragg,35.139,-79.006,18.75,96,40,2.06,US,1685410325
84,pisco,-13.7,-76.2167,20.03,73,0,4.63,PE,1685410327
85,carnarvon,-24.8667,113.6333,23.23,50,31,3.08,AU,1685410328
86,tabou,4.423,-7.3528,26.22,83,91,1.98,CI,1685410329
